dwnom,beta2,beta1,beta3,beta4,beta5,south,rep,year
-.153,.043529689,.95645154,.041634038,.24575436,0,0,1,1966
-.153,.043935776,.99429375,.043685067,.021398306,0,0,1,1968
.29800001,.06372866,.97463369,.0621121,.20382881,0,0,0,1970
.29800001,.064002335,.96573937,.061809573,.27418578,0,0,0,1972
.39399999,-.028063565,.95879257,-.026907139,.13718081,0,0,0,1974
.39399999,,,,,0,0,0,1976
-.121,-.004253149,.99445742,-.0042295759,.27966207,0,0,1,1982
-.121,-.0042571127,.98214972,-.0041811219,.28350931,0,0,1,1984
-.121,.031430274,.95307386,.029955372,.33161461,0,0,1,1986
-.121,.031430274,.99422055,.031248625,.48740602,0,0,1,1988
-.121,,,,,0,0,1,1990
-.89700001,-.047579944,.93136907,-.044314489,.18305546,0,0,1,1902
-.89700001,,,,,0,0,1,1904
-.60900003,-.11393121,.95383406,-.10867146,.032934189,0,0,1,1908
-.60900003,,,,,0,0,1,1910
-.29499999,-.148036,.99380875,-.14711948,.11432052,0,0,1,1932
.37099999,-.084564149,.9618032,-.081334069,.2131536,0,0,0,1934
.37099999,-.084564149,.97351813,-.082324736,.028226554,0,0,0,1936
-.215,-.068623602,.99517334,-.068292379,.087452412,0,0,1,1938
.43000001,-.068623602,.99820691,-.068500556,.046818197,0,0,0,1940
-.215,-.035176575,.99172682,-.034885552,.08024478,0,0,1,1942
.39700001,-.035176575,.96704966,-.034017496,.15262777,0,0,0,1944
-.155,-.059146792,.96289158,-.056951948,.0045939088,0,0,1,1946
-.155,-.059146792,.99934286,-.059107926,.1648829,0,0,1,1948
-.155,-.004735589,.97619259,-.0046228468,.079360843,0,0,1,1950
-.155,-.004735589,.97152758,-.0046007554,.13925207,0,0,1,1952
-.155,-.062957913,.94747204,-.059650861,.073918402,0,0,1,1954
-.155,-.062957913,.99153829,-.062425181,.086821556,0,0,1,1956
.43399999,.043713629,.94548786,.041330706,.079506278,0,0,0,1958
.43399999,.043713629,.96928883,.042371131,.15651727,0,0,0,1960
.35600001,,,,,0,0,0,1962
-.51700002,,,,,0,0,1,1916
-.51700002,,,,,0,0,1,1918
-.51700002,-.076284647,,,.070227265,0,0,1,1920
-.51700002,,,,,0,0,1,1922
-.51700002,,,,,0,0,1,1924
-.51700002,.019694269,,,.083023489,0,0,1,1926
-.43099999,,,,,0,0,1,1928
-.43099999,,,,,0,0,1,1930
-.43099999,-.148036,,,.034937382,0,0,1,1932
.15000001,,,,,0,0,0,1934
.15000001,,,,,0,0,0,1936
.15000001,-.068623602,,,.07641089,0,0,0,1938
.15000001,,,,,0,0,0,1940
.15000001,,,,,0,0,0,1942
-.208,,,,,0,0,1,1946
-.208,,,,,0,0,1,1948
-.18000001,,,,,0,0,1,1952
-.18000001,,,,,0,0,1,1954
-.18000001,-.062957913,,,.14937806,0,0,1,1956
.222,,,,,0,0,0,1958
.222,,,,,0,0,0,1960
.222,.074160457,,,.29311633,0,0,0,1962
.222,,,,,0,0,0,1964
.222,,,,,0,0,0,1966
.222,.046046019,,,.10525841,0,0,0,1968
-.056000002,,,,,0,0,1,1970
-.056000002,,,,,0,0,1,1972
-.056000002,-.033762455,,,.16682619,0,0,1,1974
-.056000002,,,,,0,0,1,1976
-.056000002,.01556012,,,.13529336,0,0,1,1978
.34799999,.01556012,.96871471,.015073317,.044818223,0,0,0,1980
-.056000002,,,,,0,0,1,1982
-.056000002,,,,,0,0,1,1986
.21699999,,,,,0,0,0,1994
.21699999,,,,,0,0,0,1996
.21699999,.11982,,,.29822338,0,0,0,1998
.21699999,,,,,0,0,0,2000
.21699999,,,,,0,0,0,2002
.21699999,.5286479,,,.61003637,0,0,0,2004
.21699999,,,,,0,0,0,2006
.21699999,,,,,0,0,0,2008
.21699999,.095264852,,,.1200608,0,0,0,2010
.317,,,,,0,0,0,2012
-.787,,,,,0,0,1,1914
-.787,,,,,0,0,1,1916
-.787,-.076284647,,,.24372947,0,0,1,1918
-.787,,,,,0,0,1,1920
-.787,,,,,0,0,1,1922
-.53299999,,,,,0,0,1,1926
-.53299999,,,,,0,0,1,1928
-.53299999,-.148036,,,.007612586,0,0,1,1930
.23999999,,,,,0,0,0,1932
.23999999,,,,,0,0,0,1934
.23999999,-.084564149,,,.037372768,0,0,0,1936
-.235,,,,,0,0,1,1938
-.235,,,,,0,0,1,1940
-.235,-.035176575,,,.047379613,0,0,1,1942
.35499999,,,,,0,0,0,1944
.35499999,,,,,0,0,0,1946
.35499999,-.059146792,,,.051690102,0,0,0,1948
.35499999,,,,,0,0,0,1950
